,Booking date,Quantity,Customer ID,Product ID,Channel,Landingpage,Channel_Name,Booking Sequence,Previous Booking date,Previous Product ID,Previous Channel,Previous Channel_Name,Previous Landingpage
384,22.02.2018,2,217,191,0,0,CRM,4,17.02.2019,59.0,0.0,CRM,0.0
385,29.01.2017,2,217,16,3,4,SEA,5,22.02.2018,191.0,0.0,CRM,0.0
386,08.01.2019,2,218,208,3,3,SEA,1,,,,,
387,20.05.2019,4,218,139,0,0,CRM,2,08.01.2019,208.0,3.0,SEA,3.0
388,12.11.2018,1,219,919,5,18,Affiliate B,1,,,,,
389,04.11.2009,2,220,756,1,1,Affiliate A,1,,,,,
390,23.07.2016,2,220,237,4,8,Store,2,04.11.2009,756.0,1.0,Affiliate A,1.0
391,01.11.2018,2,221,464,2,2,Direct,1,,,,,
392,19.11.2015,2,222,571,4,12,Store,1,,,,,
393,12.08.2019,2,223,148,4,7,Store,1,,,,,
394,09.12.2012,1,224,594,4,8,Store,1,,,,,
395,18.07.2017,2,225,225,3,4,SEA,1,,,,,
396,19.12.2017,2,225,9,0,0,CRM,2,18.07.2017,225.0,3.0,SEA,4.0
397,28.10.2016,2,225,70,2,2,Direct,3,19.12.2017,9.0,0.0,CRM,0.0
398,26.10.2017,2,226,173,3,3,SEA,1,,,,,
399,09.08.2015,2,227,276,1,1,Affiliate A,1,,,,,
400,10.11.2012,2,228,944,3,3,SEA,1,,,,,
401,12.10.2017,2,229,11,3,3,SEA,1,,,,,
402,13.07.2018,2,229,69,3,3,SEA,2,12.10.2017,11.0,3.0,SEA,3.0
403,15.01.2018,2,229,95,0,0,CRM,3,13.07.2018,69.0,3.0,SEA,3.0
404,04.06.2019,2,230,373,0,0,CRM,1,,,,,
405,05.12.2016,4,230,18,3,3,SEA,2,04.06.2019,373.0,0.0,CRM,0.0
406,18.03.2019,2,230,116,0,0,CRM,3,05.12.2016,18.0,3.0,SEA,3.0
407,30.10.2017,1,231,163,2,2,Direct,1,,,,,
408,11.10.2018,2,232,480,0,0,CRM,1,,,,,
409,07.11.2016,2,233,15,3,3,SEA,1,,,,,
410,09.02.2015,2,233,458,3,3,SEA,2,07.11.2016,15.0,3.0,SEA,3.0
411,26.03.2018,2,233,128,0,0,CRM,3,09.02.2015,458.0,3.0,SEA,3.0
412,28.01.2019,2,234,189,3,5,SEA,1,,,,,
413,07.01.2011,1,235,962,4,7,Store,1,,,,,
